,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
459,adelaide,-34.93,138.6,10.33,6.19,8.33,11.67,66,4.1,71,AU,34200
460,sahuaripa,29.05,-109.23,29.51,32.41,29.51,29.51,56,0.99,70,MX,-25200
461,boueni,-12.9,45.08,25.0,23.08,25.0,25.0,65,6.7,40,YT,10800
462,tahoua,14.89,5.27,34.0,32.66,34.0,34.0,44,7.2,39,NE,3600
463,antofagasta,-23.65,-70.4,15.0,9.72,15.0,15.0,67,7.2,20,CL,-14400
464,zemio,5.03,25.14,21.65,24.92,21.65,21.65,94,1.05,69,CF,3600
465,port moresby,-9.44,147.18,25.0,24.78,25.0,25.0,88,7.7,75,PG,36000
466,sarh,9.14,18.39,24.0,26.95,24.0,24.0,83,1.72,20,TD,3600
467,tarrafal,15.28,-23.77,30.0,33.04,30.0,30.0,66,3.1,40,CV,-3600
468,bonnyville,54.27,-110.73,23.0,21.7,23.0,23.0,64,4.6,75,CA,-21600
469,darnah,32.77,22.64,26.08,22.54,26.08,26.08,70,10.46,0,LY,7200
470,namatanai,-3.67,152.43,26.42,29.73,26.42,26.42,82,2.84,45,PG,36000
471,diego de almagro,-26.37,-70.05,15.07,10.16,15.07,15.07,31,3.8,0,CL,-14400
472,alta floresta,-9.88,-56.09,36.68,35.54,36.68,36.68,22,2.29,57,BR,-14400
473,ursulo galvan,22.73,-98.3,32.79,36.04,32.22,33.33,52,1.79,5,MX,-18000
474,lac-megantic,45.58,-70.88,21.14,25.08,20.0,22.78,100,0.45,68,CA,-14400
475,brookings,44.31,-96.8,26.07,23.43,26.0,26.11,74,9.8,1,US,-18000
478,warren,39.43,-84.17,25.64,30.3,24.0,27.22,100,3.1,90,US,-14400
479,christchurch,-43.53,172.63,-1.82,-5.67,-2.0,-1.67,92,2.1,0,NZ,43200
480,evensk,61.95,159.23,10.13,9.11,10.13,10.13,81,0.46,74,RU,39600
481,okhotsk,59.38,143.3,12.48,10.41,12.48,12.48,86,3.1,85,RU,36000
482,babstovo,48.12,132.48,19.52,21.09,19.52,19.52,94,2.07,86,RU,36000
483,wonthaggi,-38.6,145.59,7.2,4.33,5.56,8.89,91,2.74,60,AU,36000
484,ubinskoye,55.31,79.68,10.61,9.02,10.61,10.61,85,1.68,0,RU,25200
485,soyo,-6.13,12.37,23.11,23.29,23.11,23.11,77,4.26,5,AO,3600
486,chokurdakh,70.63,147.92,17.63,16.56,17.63,17.63,72,2.64,38,RU,39600
487,faya,18.39,42.45,22.5,23.77,22.0,23.0,83,3.1,20,SA,10800
488,ayagoz,47.97,80.44,19.43,15.92,19.43,19.43,37,3.22,0,KZ,21600
489,almenara,-16.18,-40.69,27.74,26.97,27.74,27.74,43,2.91,1,BR,-10800
490,tahlequah,35.92,-94.97,29.41,32.84,28.89,30.56,66,2.1,90,US,-18000
493,muswellbrook,-32.27,150.9,6.11,4.46,6.11,6.11,79,0.15,17,AU,36000
494,coahuayana,18.73,-103.68,26.0,29.2,26.0,26.0,78,2.04,75,MX,-18000
495,anadyr,64.75,177.48,10.75,9.05,10.56,11.0,87,2.0,47,RU,43200
496,pitimbu,-7.47,-34.81,28.0,26.69,28.0,28.0,65,7.7,40,BR,-10800
497,nisia floresta,-6.09,-35.21,29.0,25.25,29.0,29.0,54,9.8,20,BR,-10800
498,gari,59.43,62.35,14.53,12.0,14.53,14.53,66,3.03,1,RU,18000
499,gunjur,13.2,-16.73,31.0,35.52,31.0,31.0,70,2.6,40,GM,0
500,gravdal,68.12,13.5,10.0,6.19,10.0,10.0,93,5.1,75,NO,7200
501,barao de melgaco,-16.19,-55.97,35.0,34.74,35.0,35.0,24,1.0,0,BR,-14400
502,asosa,10.07,34.53,16.41,17.91,16.41,16.41,98,0.74,100,ET,10800
503,jiayuguan,39.82,98.3,22.38,20.85,22.38,22.38,40,1.56,97,CN,28800
504,arlit,18.74,7.39,38.0,36.79,38.0,38.0,19,1.92,48,NE,3600
505,araouane,18.9,-3.53,42.82,41.06,42.82,42.82,13,2.02,7,ML,0
506,aasiaat,68.71,-52.87,8.0,4.77,8.0,8.0,70,2.44,39,GL,-7200
507,rosiori,44.8,27.38,26.42,22.37,24.0,29.44,44,7.2,20,RO,10800
508,shelburne,44.08,-80.2,23.79,22.78,23.0,24.44,64,4.6,75,CA,-14400
509,grindavik,63.84,-22.43,13.0,5.35,13.0,13.0,58,9.3,20,IS,0
510,mahon,39.89,4.27,30.0,28.99,30.0,30.0,37,3.1,0,ES,7200
511,karwar,14.8,74.13,27.01,32.62,27.01,27.01,85,0.52,100,IN,19800
512,vardo,70.37,31.11,13.0,8.6,13.0,13.0,87,6.7,75,NO,7200
513,beloha,-25.17,45.05,16.02,11.82,16.02,16.02,71,6.36,16,MG,10800
514,aksu,41.12,80.26,26.48,23.32,26.48,26.48,25,2.86,29,CN,28800
515,hanzhong,33.07,107.03,22.96,25.78,22.96,22.96,90,2.11,100,CN,28800
516,hovd,48.01,91.64,19.61,19.17,19.61,19.61,55,0.82,67,MN,25200
517,caravelas,-17.71,-39.25,25.04,25.3,25.04,25.04,63,3.32,20,BR,-10800
518,isangel,-19.55,169.27,22.51,21.53,22.51,22.51,84,6.46,83,VU,39600
519,kommunisticheskiy,61.68,64.48,14.82,12.78,14.82,14.82,60,1.96,1,RU,18000
520,svetlyy,54.67,20.13,17.0,13.07,17.0,17.0,67,6.0,20,RU,7200
521,santa marta,11.24,-74.2,32.0,36.77,32.0,32.0,70,3.1,75,CO,-18000
