,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
0,banjar,-8.19,114.97,26.0,27.71,26.0,26.0,94,6.7,20,ID,28800
1,ushuaia,-54.8,-68.3,4.0,-0.21,4.0,4.0,60,2.6,90,AR,-10800
2,busselton,-33.65,115.33,7.34,4.64,7.22,7.78,72,1.62,5,AU,28800
3,iqaluit,63.75,-68.51,8.94,6.75,8.89,9.0,87,2.1,75,CA,-14400
4,tiksi,71.69,128.87,14.58,12.54,14.58,14.58,81,3.53,87,RU,32400
5,narsaq,60.92,-46.05,18.0,10.37,18.0,18.0,31,8.2,75,GL,-7200
6,butaritari,3.07,172.79,28.04,29.54,28.04,28.04,77,5.85,2,KI,43200
7,tasiilaq,65.61,-37.64,6.0,0.51,6.0,6.0,81,5.7,75,GL,-7200
8,betioky,-23.72,44.38,17.55,12.91,17.55,17.55,62,6.76,15,MG,10800
9,pierre,44.37,-100.35,29.91,29.83,29.0,30.56,62,6.7,75,US,-18000
10,praia da vitoria,38.73,-27.07,25.0,25.53,25.0,25.0,61,2.61,20,PT,0
11,mar del plata,-38.0,-57.56,13.18,13.12,13.0,13.33,100,1.5,90,AR,-10800
12,rikitea,-23.12,-134.97,19.31,14.22,19.31,19.31,66,8.51,3,PF,-32400
13,constitucion,-35.33,-72.42,11.83,9.76,11.83,11.83,66,1.55,32,CL,-14400
14,vung tau,10.35,107.08,27.19,31.07,27.19,27.19,80,2.3,100,VN,25200
15,mweka,-4.85,21.57,26.93,25.98,26.93,26.93,28,0.32,31,CD,7200
16,niteroi,-22.88,-43.1,26.95,29.44,24.0,30.0,83,4.6,20,BR,-10800
17,eqbaliyeh,35.3,51.54,35.0,31.42,35.0,35.0,14,3.1,40,IR,16200
18,cockburn town,21.46,-71.14,30.0,30.87,30.0,30.0,66,6.2,40,TC,-14400
19,chuy,-33.7,-53.46,19.15,19.72,19.15,19.15,94,3.27,100,UY,-10800
20,half moon bay,37.46,-122.43,16.88,16.39,14.44,18.89,72,1.5,90,US,-25200
22,la ronge,55.1,-105.28,21.0,22.38,21.0,21.0,88,2.6,75,CA,-21600
23,tocopilla,-22.09,-70.2,18.05,14.88,18.05,18.05,47,3.39,4,CL,-14400
26,kalemie,-5.95,29.19,21.97,21.46,21.97,21.97,61,2.58,0,CD,7200
27,pisco,-13.7,-76.22,19.19,18.31,19.0,19.44,77,3.6,20,PE,-18000
28,salalah,17.02,54.09,27.0,30.8,27.0,27.0,88,3.6,40,OM,14400
30,punta arenas,-53.15,-70.92,3.46,-3.97,3.0,3.89,76,7.7,75,CL,-10800
31,sitka,57.05,-135.33,12.0,10.83,12.0,12.0,93,2.1,90,US,-28800
32,yellowknife,62.46,-114.35,15.44,13.94,15.0,16.67,93,4.1,90,CA,-21600
33,cape town,-33.93,18.42,16.25,15.11,15.56,17.22,77,2.6,0,ZA,7200
34,khatanga,71.97,102.5,5.78,-1.25,5.78,5.78,85,8.01,100,RU,25200
35,ambilobe,-13.2,49.05,21.0,21.92,21.0,21.0,70,1.15,94,MG,10800
36,bredasdorp,-34.53,20.04,14.0,13.11,14.0,14.0,87,2.1,0,ZA,7200
37,banda aceh,5.56,95.32,25.78,28.37,25.78,25.78,79,2.91,95,ID,25200
38,albany,42.6,-73.97,27.28,31.7,25.56,28.89,82,1.94,62,US,-14400
39,qaanaaq,77.48,-69.36,9.47,6.95,9.47,9.47,51,0.73,0,GL,-10800
40,east london,-33.02,27.91,19.45,16.28,19.45,19.45,55,4.66,0,ZA,7200
41,dikson,73.51,80.55,5.42,1.53,5.42,5.42,87,3.52,21,RU,25200
42,talaya,61.38,152.75,12.59,11.24,12.59,12.59,77,1.5,86,RU,39600
43,osa,57.28,55.46,16.51,17.52,16.51,16.51,91,0.88,100,RU,18000
44,alofi,-19.06,-169.92,23.0,25.02,23.0,23.0,100,4.6,73,NU,-39600
45,baglung,28.27,83.59,21.6,23.42,21.6,21.6,78,1.15,100,NP,20700
46,le port,-20.94,55.29,14.89,11.09,11.67,19.0,55,4.1,20,RE,14400
47,atuona,-9.8,-139.03,25.73,23.11,25.73,25.73,74,9.54,6,PF,-34200
48,santa cruz del norte,23.15,-81.92,29.87,37.01,28.0,31.0,88,1.5,75,CU,-14400
49,ribeira grande,38.52,-28.7,23.0,23.21,23.0,23.0,69,3.1,20,PT,0
50,faanui,-16.48,-151.75,25.42,24.59,25.42,25.42,78,7.38,6,PF,-36000
52,tuktoyaktuk,69.45,-133.04,11.0,6.72,11.0,11.0,76,5.1,75,CA,-21600
55,hermanus,-34.42,19.23,13.33,13.14,13.33,13.33,88,0.89,0,ZA,7200
56,oussouye,12.48,-16.55,31.0,35.76,31.0,31.0,74,3.1,40,SN,0
57,progreso,21.28,-89.67,32.66,37.9,32.0,33.33,66,2.1,75,MX,-18000
